iter	Logloss
0	0.6883842753
1	0.6844969258
2	0.6810034235
3	0.6773190482
4	0.673911004
5	0.6705285535
6	0.667143594
7	0.6645397135
8	0.6619521291
9	0.6595181817
10	0.6565771468
11	0.6544515145
12	0.652068919
13	0.6502792841
14	0.6485661357
15	0.6464287949
16	0.6445609483
17	0.6426307673
18	0.6413642705
19	0.6397161944
20	0.6385243367
21	0.6369805056
22	0.6358274206
23	0.6344148227
24	0.6333107797
25	0.6320235045
26	0.6308380114
27	0.629682615
28	0.6286996386
29	0.6276434963
30	0.6267003256
31	0.6259966338
32	0.6251025624
33	0.6244351357
34	0.6237797376
35	0.6229073694
36	0.6221296346
37	0.6214726602
38	0.6209909671
39	0.6202053781
40	0.6195288649
41	0.6189038773
42	0.6183111428
43	0.6177432721
44	0.6171745766
45	0.6165932233
46	0.6160736501
47	0.6155926872
48	0.6150226558
49	0.6145729848
50	0.614238643
51	0.6138871588
52	0.6134015938
53	0.6131030708
54	0.6127589547
55	0.6124281533
56	0.612091834
57	0.611826186
58	0.6114807086
59	0.611216658
60	0.6109075857
61	0.6106555504
62	0.6102256279
63	0.6098691161
64	0.609625468
65	0.6093151271
66	0.6090041418
67	0.608749148
68	0.6085007631
69	0.6081970019
70	0.6079117948
71	0.6076462509
72	0.607455293
73	0.6071970471
74	0.6069831318
75	0.6068019602
76	0.6066408069
77	0.6064896263
78	0.6063292032
79	0.6061291031
80	0.6059239235
81	0.6057296115
82	0.6056117633
83	0.6054725671
84	0.6053176277
85	0.6051652602
86	0.6049845767
87	0.6047833656
88	0.604586908
89	0.6043323056
90	0.6041180728
91	0.6039466547
92	0.6037735373
93	0.6035835384
94	0.6034008346
95	0.6032762526
96	0.6030732209
97	0.6029621942
98	0.6028327967
99	0.6027029814
100	0.6026023941
101	0.6024680203
102	0.6023515625
103	0.6021869542
104	0.6020296104
105	0.601837576
106	0.6016900938
107	0.6015084228
108	0.6014051214
109	0.6012622711
110	0.601123714
111	0.6009561953
112	0.600814686
113	0.6006702617
114	0.600519618
115	0.6004182501
116	0.6003370663
117	0.6002252842
118	0.6001536674
119	0.6000126124
120	0.5999219382
121	0.5997970894
122	0.599681422
123	0.5995200623
124	0.5994288322
125	0.5993171506
126	0.5992084097
127	0.5991175755
128	0.5990193891
129	0.5988927985
